ID,Type,SKU,Name,Tax class,In stock?,Weight (kg),Regular price,Categories,Tags,Shipping class,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default
31448,variable,GBDCCA22,2-Tier Little Singham Cake,,1,,,"All Cakes, Designer Cakes > Cartoon Cakes, Designer Cakes, Designer Cakes > Little Singham Cakes",,,https://gurgaonbakers.com/wp-content/uploads/2020/12/2-tier-little-singham-cake.jpg,WEIGHT,"2 Kg, 3 Kg",1,1,2 Kg,OPTION,"Egg, Eggless",1,1,Eggless
31451,variation,,"2-Tier Little Singham Cake - 3 Kg, Egg",parent,1,3,2999,,,,https://gurgaonbakers.com/wp-content/uploads/2020/11/2-tier-little-singham-cake.jpg,WEIGHT,3 Kg,,1,,OPTION,Egg,,1,
31452,variation,,"2-Tier Little Singham Cake - 3 Kg, Eggless",parent,1,3,2999,,,,https://gurgaonbakers.com/wp-content/uploads/2020/11/2-tier-little-singham-cake.jpg,WEIGHT,3 Kg,,1,,OPTION,Eggless,,1,
31453,variable,GBDCNC12,Two - tier  Numbers and Alphabets Cake,,1,,,"Birthday Cakes > All Birthday Cakes, All Cakes, Designer Cakes > Alphabet And Number Cakes, Birthday Cakes, Birthday Cakes > Cakes For Kids, Customized Cakes, Designer Cakes","Alphabet cake in Gurgaon, Fondant cake in Gurgaon, Number cake in Gurgaon",,https://gurgaonbakers.com/wp-content/uploads/2020/10/2-tier-numbers-and-alphabets-cake.jpg,WEIGHT,"2 Kg, 3 Kg",1,1,2 Kg,OPTION,"Egg, Eggless",1,1,Eggless
31454,variation,,"Two - tier  Numbers and Alphabets Cake - 3 Kg, Egg",parent,1,3,3499,,,,https://gurgaonbakers.com/wp-content/uploads/2020/10/2-tier-numbers-and-alphabets-cake.jpg,WEIGHT,3 Kg,,1,,OPTION,Egg,,1,
31455,variation,,"Two - tier  Numbers and Alphabets Cake - 3 Kg, Eggless",parent,1,3,3499,,,,https://gurgaonbakers.com/wp-content/uploads/2020/10/2-tier-numbers-and-alphabets-cake.jpg,WEIGHT,3 Kg,,1,,OPTION,Eggless,,1,
31458,variable,GBDCUC11,Two-Tiered Unicorn Rosette Cake,,1,,,"All Cakes, Designer Cakes, Designer Cakes > Unicorn Cakes",,,https://gurgaonbakers.com/wp-content/uploads/2020/10/2-tiered-unicorn-rosette-cake.jpg,WEIGHT,"3 Kg, 4 Kg, 5 Kg",1,1,3 Kg,OPTION,"Egg, Eggless",1,1,Eggless
31459,variation,,"Two-Tiered Unicorn Rosette Cake - 4 Kg, Egg",parent,1,4,4199,,,,https://gurgaonbakers.com/wp-content/uploads/2020/10/2-tiered-unicorn-rosette-cake.jpg,WEIGHT,4 Kg,,1,,OPTION,Egg,,1,
31460,variation,,"Two-Tiered Unicorn Rosette Cake - 4 Kg, Eggless",parent,1,4,4199,,,,https://gurgaonbakers.com/wp-content/uploads/2020/10/2-tiered-unicorn-rosette-cake.jpg,WEIGHT,4 Kg,,1,,OPTION,Eggless,,1,
31463,variable,GBDCJC13,2D Jungle Cake,,1,,,"All Cakes, Designer Cakes, Designer Cakes > Jungle Theme Cakes",,,https://gurgaonbakers.com/wp-content/uploads/2020/12/2d-jungle-cake.jpg,WEIGHT,"2 Kg, 3 Kg",1,1,2 Kg,OPTION,"Egg, Eggless",1,1,Eggless
31466,variation,,"2D Jungle Cake - 3 Kg, Egg",parent,1,3,3799,,,,https://gurgaonbakers.com/wp-content/uploads/2020/10/2d-jungle-cake.jpg,WEIGHT,3 Kg,,1,,OPTION,Egg,,1,
31467,variation,,"2D Jungle Cake - 3 Kg, Eggless",parent,1,3,3799,,,,https://gurgaonbakers.com/wp-content/uploads/2020/10/2d-jungle-cake.jpg,WEIGHT,3 Kg,,1,,OPTION,Eggless,,1,
31468,variable,GBDCSH00,3-in-1 Superhero Cake,,1,,,"All Cakes, Designer Cakes, Designer Cakes > Super Hero Cakes",,,https://gurgaonbakers.com/wp-content/uploads/2020/12/3-in-1-superhero-cake_11zon.webp,WEIGHT,"2 Kg, 2.5 Kg, 3 Kg",1,1,2 Kg,OPTION,"Egg, Eggless",1,1,Eggless
31469,variation,,"3-in-1 Superhero Cake - 2 Kg, Egg",parent,1,2,3299,,,,https://gurgaonbakers.com/wp-content/uploads/2020/10/3-in-1-superhero-cake.jpg,WEIGHT,2 Kg,,1,,OPTION,Egg,,1,
31470,variation,,"3-in-1 Superhero Cake - 2 Kg, Eggless",parent,1,2,3299,,,,https://gurgaonbakers.com/wp-content/uploads/2020/10/3-in-1-superhero-cake.jpg,WEIGHT,2 Kg,,1,,OPTION,Eggless,,1,
31471,variation,,"3-in-1 Superhero Cake - 3 Kg, Egg",parent,1,3,4799,,,,https://gurgaonbakers.com/wp-content/uploads/2020/10/3-in-1-superhero-cake.jpg,WEIGHT,3 Kg,,1,,OPTION,Egg,,1,
31472,variation,,"3-in-1 Superhero Cake - 3 Kg, Eggless",parent,1,3,4799,,,,https://gurgaonbakers.com/wp-content/uploads/2020/10/3-in-1-superhero-cake.jpg,WEIGHT,3 Kg,,1,,OPTION,Eggless,,1,
31473,variable,GBDCMM15,3-Tier Mickey Mouse Cake,,1,,,"All Cakes, Designer Cakes, Designer Cakes > Mickey Cakes",,,https://gurgaonbakers.com/wp-content/uploads/2020/10/3-tier-mickey-mouse-cake.jpg,WEIGHT,"5 Kg, 6 Kg",1,1,5 Kg,OPTION,"Egg, Eggless",1,1,Eggless
31474,variation,,"3-Tier Mickey Mouse Cake - 6 Kg, Egg",parent,1,6,5999,,,,https://gurgaonbakers.com/wp-content/uploads/2020/10/3-tier-mickey-mouse-cake.jpg,WEIGHT,6 Kg,,1,,OPTION,Egg,,1,
31475,variation,,"3-Tier Mickey Mouse Cake - 6 Kg, Eggless",parent,1,6,5999,,,,https://gurgaonbakers.com/wp-content/uploads/2020/10/3-tier-mickey-mouse-cake.jpg,WEIGHT,6 Kg,,1,,OPTION,Eggless,,1,
31480,variable,GBDCNC06,Three Dimensional  Blocks Cake,,1,,,"Birthday Cakes > 1st Birthday Cakes, All Cakes, Designer Cakes > Alphabet And Number Cakes, Designer Cakes","Alphabet cake in Gurgaon, Number cake in Gurgaon",,https://gurgaonbakers.com/wp-content/uploads/2020/10/3d-blocks-cake.jpg,WEIGHT,"3 Kg, 4 Kg",1,1,3 Kg,OPTION,"Egg, Eggless",1,1,Eggless
